"","level","Overall","0","1","2","p","test","Missing"
"tele_terli_day0 (%)","0","15 (16.1)","6 (17.6)","3 (15.0)","6 (15.4)","0.955","","1.1"
"","1","78 (83.9)","28 (82.4)","17 (85.0)","33 (84.6)","","",""
"he_terli_day0 (%)","0","68 (73.1)","24 (72.7)","17 (85.0)","27 (67.5)","0.590","","1.1"
"","1","19 (20.4)","6 (18.2)","2 (10.0)","11 (27.5)","","",""
"","2","4 (4.3)","1 (3.0)","1 (5.0)","2 (5.0)","","",""
"","3","1 (1.1)","1 (3.0)","0 (0.0)","0 (0.0)","","",""
"","4","1 (1.1)","1 (3.0)","0 (0.0)","0 (0.0)","","",""
"infection_terli_day0 (%)","0","60 (65.2)","22 (66.7)","11 (55.0)","27 (69.2)","0.541","","2.1"
"","1","32 (34.8)","11 (33.3)","9 (45.0)","12 (30.8)","","",""
"typeinfection_terli_day0 (%)","1","2 (6.2)","0 (0.0)","0 (0.0)","2 (16.7)","0.503","","66.0"
"","2","5 (15.6)","2 (18.2)","2 (22.2)","1 (8.3)","","",""
"","3","5 (15.6)","3 (27.3)","1 (11.1)","1 (8.3)","","",""
"","4","7 (21.9)","1 (9.1)","2 (22.2)","4 (33.3)","","",""
"","5","13 (40.6)","5 (45.5)","4 (44.4)","4 (33.3)","","",""
"aclf_grade (%)","0","2 (2.1)","0 (0.0)","0 (0.0)","2 (5.0)","0.089","","0.0"
"","1","17 (18.1)","5 (14.7)","4 (20.0)","8 (20.0)","","",""
"","2","38 (40.4)","12 (35.3)","5 (25.0)","21 (52.5)","","",""
"","3","37 (39.4)","17 (50.0)","11 (55.0)","9 (22.5)","","",""
"akin (%)","1","23 (26.1)","8 (23.5)","0 (0.0)","15 (44.1)","0.002","","6.4"
"","2","27 (30.7)","13 (38.2)","5 (25.0)","9 (26.5)","","",""
"","3","38 (43.2)","13 (38.2)","15 (75.0)","10 (29.4)","","",""
